"Year","State","AVG_AGE"
2013,"Florida",40.7436180180291
2007,"Georgia",34.85411425129
2008,"Georgia",35.0326380709628
2009,"Georgia",35.0414779985901
2010,"Georgia",35.6028409320812
2011,"Georgia",35.7965608479085
2012,"Georgia",36.086592718004
2013,"Georgia",36.3083246106675
2007,"Hawaii",38.3814863470751
2008,"Hawaii",38.2949515524787
2009,"Hawaii",38.3842931241883
2010,"Hawaii",38.7075683052696
2011,"Hawaii",38.7815210829133
2012,"Hawaii",38.8469934562128
2013,"Hawaii",38.8441049988106
2007,"Idaho",35.4422563128501
2008,"Idaho",35.4213218656321
2009,"Idaho",35.5218330173159
2010,"Idaho",35.8173801266346
2011,"Idaho",36.0391675631
2012,"Idaho",36.415981921731
2013,"Idaho",36.7157646749406
2007,"Illinois",36.3435986389625
2008,"Illinois",36.4779309702297
2009,"Illinois",36.669840823788
2010,"Illinois",37.0207289230708
2011,"Illinois",37.2416711016539
2012,"Illinois",37.4806964988266
2013,"Illinois",37.6879972923743
2007,"Indiana",36.5854406316245
2008,"Indiana",36.9151510665551
2009,"Indiana",36.9396186864531
2010,"Indiana",37.122943089729
2011,"Indiana",37.3481812426173
2012,"Indiana",37.5269530362071
2013,"Indiana",37.6703755435707
2007,"Iowa",38.1559711075495
2008,"Iowa",38.1265771141064
2009,"Iowa",38.2115413066512
2010,"Iowa",38.3555680660537
2011,"Iowa",38.4148552611771
2012,"Iowa",38.4849488612595
2013,"Iowa",38.6266868279222
2007,"Kansas",36.7047338307642
2008,"Kansas",36.9213552956425
2009,"Kansas",36.8236773289692
2010,"Kansas",36.9315829179737
2011,"Kansas",37.0473649345683
2012,"Kansas",37.128660160331
2013,"Kansas",37.3829673350364
2007,"Kentucky",37.2423438172673
2008,"Kentucky",37.6251304387544
2009,"Kentucky",37.4955410301028
2010,"Kentucky",37.8035651752562
2011,"Kentucky",37.9454159834996
2012,"Kentucky",38.1171818195308
2013,"Kentucky",38.3458311671913
2007,"Louisiana",36.1660226255263
2008,"Louisiana",36.4780563417578
2009,"Louisiana",36.4109206968003
2010,"Louisiana",36.5837446976692
2011,"Louisiana",36.7906421126353
2012,"Louisiana",36.9922392806612
2013,"Louisiana",37.1129143632971
2007,"Maine",39.8374120392619
2008,"Maine",40.1368697472608
