"Year","State","WHITE_PCT"
2002,"Kentucky",89.9425429658307
2003,"Kentucky",89.9292437040286
2004,"Kentucky",90.2645260614011
2005,"Kentucky",89.9268625934202
2000,"Louisiana",65.0741815593608
2001,"Louisiana",63.9351885755287
2002,"Louisiana",63.7325935396049
2003,"Louisiana",64.0798356217614
2004,"Louisiana",63.9258910792604
2005,"Louisiana",63.4140693078312
2000,"Maine",96.7091965330084
2001,"Maine",96.9317233142533
2002,"Maine",96.8695094347412
2003,"Maine",96.9723800214387
2004,"Maine",96.3222741402569
2005,"Maine",96.5409825072477
2000,"Maryland",64.1478499090886
2001,"Maryland",63.5466024744447
2002,"Maryland",64.6973203712126
2003,"Maryland",64.2414339073768
2004,"Maryland",63.2450990368407
2005,"Maryland",61.2468714706916
2000,"Massachusetts",85.7648600113056
2001,"Massachusetts",85.601436504873
2002,"Massachusetts",84.4988444996817
2003,"Massachusetts",84.3747391962735
2004,"Massachusetts",84.0148492424749
2005,"Massachusetts",83.4780639850965
2000,"Michigan",80.7776409281172
2001,"Michigan",80.4881188920843
2002,"Michigan",80.2166905272303
2003,"Michigan",80.2817672585753
2004,"Michigan",79.9851058555369
2005,"Michigan",79.8085453306155
2000,"Minnesota",89.7034758376038
2001,"Minnesota",89.4462517009152
2002,"Minnesota",88.5561998098029
2003,"Minnesota",88.64786128258
2004,"Minnesota",88.0944948200634
2005,"Minnesota",87.923392160272
2000,"Mississippi",60.9813396559848
2001,"Mississippi",61.3950115904398
2002,"Mississippi",60.8603176639583
2003,"Mississippi",60.9625541655859
2004,"Mississippi",61.1111111111111
2005,"Mississippi",60.6399899943047
2000,"Missouri",85.867682169005
2001,"Missouri",84.907308148201
2002,"Missouri",84.7993770693459
2003,"Missouri",84.9408185509122
2004,"Missouri",84.8165305572427
2005,"Missouri",84.651004162729
2000,"Montana",88.8157004696362
2001,"Montana",90.4142418544005
2002,"Montana",90.2599545994784
2003,"Montana",90.2623587059975
2004,"Montana",90.1895562994057
2005,"Montana",90.8604840605906
2000,"Nebraska",90.0811712510454
2001,"Nebraska",90.1470301118871
2002,"Nebraska",89.5822582509716
2003,"Nebraska",88.5650839606597
2004,"Nebraska",88.4222083196046
2005,"Nebraska",88.865837642256
2000,"Nevada",79.3986428011862
2001,"Nevada",79.1782535245521
2002,"Nevada",77.8316978176404
2003,"Nevada",77.1999489031851
2004,"Nevada",77.5896196631579
2005,"Nevada",75.9624615480445
2000,"New Hampshire",96.4444633251202
2001,"New Hampshire",96.1391296104397
2002,"New Hampshire",95.830632721966
2003,"New Hampshire",95.4865561070398
2004,"New Hampshire",95.6860305712497
2005,"New Hampshire",94.9334733866029
2000,"New Jersey",75.2969169188296
2001,"New Jersey",74.1165766884502
2002,"New Jersey",72.2833466164691
2003,"New Jersey",72.2750126834481
2004,"New Jersey",70.602074913557
2005,"New Jersey",69.9436049918896
2000,"New Mexico",69.2898363637904
2001,"New Mexico",66.5136533199865
2002,"New Mexico",69.8639146439999
